,id,nb_hop,reasoning,query_nl,supdoc1,supdoc2,supdoc3
9988,WH_dev_1834,1,[0] abelsonite is a nickel porphyrin chemical compound,Abelsonite is an instance of Chemical compound,Abelsonite is a nickel porphyrin mineral with chemical formula C31H32N4Ni . It was discovered in 1969 in the U.S. State of Utah and described in 1975 . The mineral is named after geochemist Philip H. Abelson . It is the only known crystalline geoporphyrin .,"Porphyrins are a group of heterocyclic macrocycle organic compounds, composed of four modified pyrrole subunits interconnected at their α carbon atoms via methine bridges (=CH−). The parent porphyrin is porphin, and substituted porphines are called porphyrins. The porphyrin ring structure is aromatic, with a total of 26 electrons in the conjugated system. Various analyses indicate that not all atoms of the ring are involved equally in the conjugation or that the molecule's overall nature is substantially based on several smaller conjugated systems. One result of the large conjugated system is that porphyrin molecules typically have very intense absorption bands in the visible region and may be deeply colored; the name ""porphyrin"" comes from the Greek word πορφύρα (""porphyra""), meaning ""purple"".","Porphin, sometimes spelled porphine, is the parent chemical compound for types of biochemically significant compounds called porphyrins. The chemical formula of porphin is CHN. Porphin is an organic compound that is aromatic and heterocyclic since its chemical structure, shown at right, essentially consists of four pyrrole rings joined together by four methine (=CH—) groups to form a larger macrocycle ring. The compound itself is a solid."
9507,WH_dev_99,1,[0] It was stated that arthur young was commissioner of the city of london police from 1950 to 1971,Arthur young's position is Commissioner of the city of london police,"Colonel Sir Arthur Edwin Young KBE CMG CVO OStJ KPM ( 15 February 1907 -- 20 January 1979 ) was a British police officer . He was Commissioner of Police of the City of London from 1950 to 1971 and was also the first head of the Royal Ulster Constabulary to be styled Chief Constable . Young was instrumental in the creation of the post of Chief Inspector of Constabulary . In the early 1950s , he played a crucial role in policing decolonisation in the British Empire . During the 1960s , he led the way in modernising British police recruitment and in improving the training of senior officers .","Chief constable is the rank used by the chief police officer of every territorial police force in the United Kingdom except for the City of London Police and the Metropolitan Police, as well as the chief officers of the three 'special' national police forces, the British Transport Police, Ministry of Defence Police, and Civil Nuclear Constabulary. The title is also held by the chief officers of the principal Crown Dependency police forces, the Isle of Man Constabulary, States of Guernsey Police Service, and States of Jersey Police. The title was also held, ex officio, by the president of the Association of Chief Police Officers under the Police Reform Act 2002. It was also the title of the chief officer of the Royal Parks Constabulary until this agency was disbanded in 2004.","Chief police officer is a phrase used in the United Kingdom to describe the position held by the most senior police officer in a police force. It refers to either one of the 53 Chief Constables, the Commissioner of the City of London Police or the Commissioner of the Metropolitan Police. Such police officers are members of the Association of Chief Police Officers. The phrase is used in legislation when giving powers such as those to permit public processions, or grant firearms licenses. Some such activities can usually be delegated to any constable."
4433,WH_dev_1276,1,[0] Michele Val Jean is  Screenwriter,Michele val jean's occupation is Screenwriter,Michele Val Jean ( b. 1950s ) is an American television writer on the CBS Daytime soap opera The Bold and the Beautiful .,"The Bold and the Beautiful (often referred to as B&B) is an American television soap opera created by William J. Bell and Lee Phillip Bell for CBS. It premiered on March 23, 1987 as a sister show to the Bells' other soap opera ""The Young and the Restless""; several characters from each of the two shows have crossed over to the other since the early 1990s. Set in Los Angeles, California, the show centers upon the Forrester family and their fashion house business Forrester Creations.","William Joseph ""Bill"" Bell (March 6, 1927 – April 29, 2005) was an American screenwriter and television producer, best known as the creator of the soap operas ""Another World"", ""The Young and the Restless"" and ""The Bold and the Beautiful""."
1928,WH_dev_4190,1,[0] Vidyapati was a native poet of Maithili and wrote in maithili language,Vidyapati's native language is Maithili language,"Vidyapati ( 1352 -- 1448 ) , also known by the sobriquet Maithil Kavi Kokil ( the poet cuckoo of Maithili ) was a Maithili poet and a Sanskrit writer . He was born in the village Bisfi in Madhubani district of Mithila Region of India and died in the in Janakpur Metropolitan of Mithila Region of Nepal in exile . He was son of Ganapati . The name Vidyapati is derived from two Sanskrit words , Vidya ( knowledge ) and Pati ( master ) , connoting thereby , a man of knowledge . Vidyapati 's poetry was widely influential in centuries to come , in the Hindustani as well as Bengali , Maithili , less actively Nepali language and other Eastern literary traditions . Indeed , the language at the time of Vidyapati , the prakrit - derived late abahatta , had just began to transition into early versions of the Eastern languages , Maithili , Nepali Bengali , Odia , etc. Thus , Vidyapati 's influence on making these languages has been described as `` analogous to that of Dante in Italy and Chaucer in England . ''","Madhubani District is one of the thirty-eight districts of Bihar state, India, and Madhubani town is the administrative headquarters of this district. Madhubani district is a part of Darbhanga Division. The district occupies an area of 3,501 km² and has a population of 3,570,651. This is the centre of Mithila, a region where the main language is Maithili.","Maithils (Devnagri: मैथिल, Tirhuta: মৈথিল) are an Indo-Aryan ethno-linguistic group who speak the Maithili language and inhabit the Mithila region, which is now divided between Mithila, India (Northern Bihar) and Mithila, Nepal (eastern Terai)."
8283,WH_dev_376,1,[0] Brad clark was a member of Progressive conservative party of ontario,Brad clark is a member of Progressive conservative party of ontario,"Brad Clark ( born 1960 ) is a former Canadian politician in Ontario , Canada . He was the councillor in Ward nine in Hamilton , Ontario from December 2006 to December 2014 . He was a Progressive Conservative member of the Legislative Assembly of Ontario from 1999 to 2003 , and was a cabinet minister in the governments of Mike Harris and Ernie Eves .","Michael Deane ""Mike"" Harris (born January 23, 1945) was the 22nd Premier of Ontario from June 26, 1995 to April 14, 2002. He is most noted for the ""Common Sense Revolution"", his Progressive Conservative government's program of deficit reduction in combination with lower taxes and cuts to government programs.","The phrase Common Sense Revolution (CSR) has been used as a political slogan to describe conservative platforms with a main goal of reducing taxes while balancing the budget by reducing the size and role of government. It has been used in places such as Australia and the U.S. state of New Jersey in the 1990s. This article deals with the ""Common Sense Revolution"" as it was under Ontario Premier Mike Harris, and the Progressive Conservative Party of Ontario from 1995 to 2002."
3799,WH_dev_4337,1,[0] article1 mention that congosaurus was proposed to be synonymous with dyrosaurus but it is not clearly mentioned it belongs to dyrosauridae,Congosaurus belongs to Dyrosauridae,"Congosaurus is an extinct genus of dyrosaurid mesoeucrocodylian . Fossils have been found from Angola and date back to the Paleocene epoch . In 1952 and 1964 Congosaurus was proposed to be synonymous with Dyrosaurus . The genus was later thought synonymous with Hyposaurus in 1976 and 1980 . It has since been proven a distinct genus of dyrosaurid separate from both Dyrosaurus and Hyposaurus . In 2007 a new species of Congosaurus was constructed after previously being assigned to Rhabdognathus , and named C. compressus , extending the geographic range of the genus into the present - day Sahara . Lateromedially compressed teeth show its close relation to C. bequaerti .","Mesoeucrocodylia is the clade that includes Eusuchia and the paraphyletic group Mesosuchia. The group appeared during the Early Jurassic, and continues to the present day.","The Eusuchia (""true crocodiles"") are a clade of crocodylomorphs that first appears in the Early Cretaceous with ""Hylaeochampsa"". Along with Dyrosauridae and Sebecosuchia, they were the only crocodyliformes who survived the K-T extinction. Since the other two clades died out 35 and 11 million years ago, all living crocodilian species are eusuchians, as are many extinct forms."
868,WH_dev_3608,1,[0] Eric wilson  is former bass player for sublime  worked  as a musician  as he,Eric wilson's occupation is Musician,"Eric John Wilson ( born February 21 , 1970 ) , is the former bass player for Sublime ( 1988 -- 1996 ) and also bassist for Long Beach Dub Allstars ( 1997 -- 2002 ) . He was the bassist for the band Long Beach Shortbus which was composed of several members of Long Beach Dub Allstars and Sublime . Since 2009 , Wilson has been the bassist for Sublime with Rome , a reunited version of Sublime with a new singer .","Long Beach Shortbus was a reggae-influenced punk band from Long Beach, California. The band consists of four regular members: RAS-1 (lead vocals and guitar), Trey Pangborn (guitar), Eric Wilson (bass guitar) and Damion Ramirez (drums). Shortbus originated as a side project of RAS-1 and Eric Wilson, eventually taking shape after the Long Beach Dub Allstars disbanded in 2002.","RAS-1 (Richard Arthur Smith) is a musician (guitarist/singer) who was in the band Long Beach Shortbus with former Sublime bassist Eric Wilson and Willard ""trey"" Pangborn of Falling Idols, along with drummer Damien Ramirez. RAS-1 was also a member of Long Beach Dub Allstars along with Eric Wilson and former Sublime drummer Bud Gaugh."
2017,WH_dev_2068,1,[0] The article says that Kasper Klostergaard is a professional bicycle racer,Kasper klostergaard's occupation is Bicycle racer,"Kasper Klostergaard Larsen ( born 22 May 1983 ) is a Danish professional road racing cyclist , riding for Danish based Riwal - Platform . In the last part of the 2005 season , the then Glud & Marstrand - Horsens rider was taken aboard Team CSC , as the team was then known , as a stagiaire , and was on the hard - working team that helped Lars Bak win the Tour de l'Avenir . His time at Team CSC resulted in a professional contract with the team for the 2006 and 2007 seasons .",Lars Ytting Bak (born 16 January 1980) is a Danish professional road bicycle racer for UCI ProTour team .,None
5099,WH_dev_4550,1,[0] Silvo Plut was accused of murder. He is a dangerous criminal,Silvo plut's occupation is Criminal,"Silvo Plut ( May 29 , 1968 -- April 28 , 2007 ) was a Slovenian serial killer . He was sentenced to 30 years in prison for the murder of Ljubica Ulčar and the attempted murder of her husband Miro Ulčar on February 24 , 2006 . Plut had been released on probation after 13 years in prison for the 1990 rape and murder of a former schoolmate , Marjanca Matjašič . He committed suicide in his prison cell on April 28 , 2007 .","A correctional facility, detention center, gaol (Australia, New Zealand, Republic of Ireland, UK), jail (US, Canada), penitentiary, prison, or remand centre is a facility in which inmates are forcibly confined and denied a variety of freedoms under the authority of the state as a form of punishment after being convicted of crimes. Prisons are most commonly used within a criminal justice system: people charged with crimes may be imprisoned until they are brought to trial; those pleading or being found guilty of crimes at trial may be sentenced to a specified period of imprisonment. Besides their use for punishing civil crimes, jails and prisons are frequently used by authoritarian regimes.",None
9312,WH_dev_2076,1,"[0] the arithle specifies that ""Ben Shibe "" was a baseball player; they match",Ben shibe's occupation is Baseball player,"Benjamin Franklin Shibe ( January 23 , 1838 -- January 14 , 1922 ) was an American sporting goods and baseball executive who was owner and president of the Philadelphia Athletics of the American League from 1901 until his death . He is credited with the invention of the automated stitching machinery to make standardized baseballs . Shibe Park was named in his honor from 1909 to 1954 . Shibe died in 1922 , and is buried in West Laurel Hill Cemetery , Bala Cynwyd , Pennsylvania . Shibe was a leader of the local baseball fraternity no later than the 1870s . According to Neil Lanctot , the Shibe club was the most notable nonprofessional club in operation 1877 to 1881 , when there was no professional league team based in Philadelphia after the demise of the original Athletics . Prior to purchasing the Athletics , Shibe and his sons worked for A. J. Reach & co. , a Philadelphia sporting goods manufacturer . Shibe and his sons bought 50 percent of the Athletics from Charles Somers in 1901 . At that time , he was named club president , a title he would retain until his death . He took on manager Connie Mack and two sportswriters as part - owners . In 1913 , Shibe made Mack a full partner , ceding him complete authority over the baseball side of the operation . When Shibe died in 1922 , his sons Tom and John became president and vice-president of the A 's , respectively . However , Mack was now the operating head of the franchise . Tom died in 1936 , with John following in 1937 . Their heirs would retain a minority stake in the team until 1950 .","Shibe Park, known later as Connie Mack Stadium, was a baseball park located in Philadelphia. It was the home of the Philadelphia Athletics of the American League (AL) and the Philadelphia Phillies of the National League (NL). When it opened April 12, 1909, it became baseball's first steel-and-concrete stadium. In different eras it was home to ""The $100,000 Infield"", ""The Whiz Kids"", and ""The 1964 Phold"". The venue's two home teams won both the first and last games at the stadium: the Athletics beat the Boston Red Sox 8–1 on opening day 1909, while the Phillies beat the Montreal Expos 2–1 on October 1, 1970, in the park's final contest.","Cornelius McGillicuddy (December 22, 1862 – February 8, 1956), better known as Connie Mack, was an American professional baseball player, manager, and team owner. The longest-serving manager in Major League Baseball history, he holds records for wins (3,731), losses (3,948), and games managed (7,755), with his victory total being almost 1,000 more than any other manager."
3644,WH_dev_844,1,[0] Warlock belongs to German heavy metal music.,A genre of Warlock is Heavy metal music,"Warlock were a German heavy metal band , assembled in 1982 with members of the underground bands Snakebite and Beast . The band gained popularity and some commercial success in Europe in the mid- 1980s , due also to the personality and stage presence of lead vocalist Doro Pesch . Warlock supported on tour successful metal bands , such as W.A.S.P. , Judas Priest , Dio and Megadeth . By the end of the decade , Doro Pesch was the sole original member who remained in the band and she was forced to change the name to Doro for legal reasons . Doro , the band , continues to play several songs taken from the Warlock repertoire in their live shows . The band has reunited for festival appearances and special occasions since 2003 , under the name Warlock 1986 .","Megadeth is an American heavy thrash metal band from Los Angeles, California. Guitarist Dave Mustaine and bassist David Ellefson formed the band in 1983 shortly after Mustaine's dismissal from Metallica. A pioneer of the American thrash metal scene, the band is credited as one of the genre's ""big four"" with Anthrax, Metallica and Slayer, responsible for thrash metal's development and popularization. Megadeth plays in a technical style, featuring fast rhythm sections and complex arrangements. Themes of death, war, politics and religion are prominent in the group's lyrics.","Thrash metal is an extreme subgenre of heavy metal music characterized by its fast tempo and overall aggression. The songs usually use fast percussive beats and low-register guitar riffs, overlaid with shredding-style lead work. The lyrics often deal with social issues and reproach for The Establishment, using direct and denunciatory language, an approach borrowed from hardcore punk."
908,WH_dev_3618,1,[0] annette sikveland is a retired norwegian biathlon competitor,Annette sikveland is specialized in/is an athletic competition of Biathlon,"Annette Sikveland ( born April 25 , 1972 in Stavanger ) is a former Norwegian biathlete . During her career as biathlete Sikveland won three relay medals , bronze at the World Championships 1995 in Antholz , silver at the World Championships 1997 in Brezno - Osrblie and bronze at the 1998 Winter Olympics in Nagano . Her best individual olympic placing is 8th from the 15 km at the same Olympics . She retired as biathlete after that Olympics . She lives today in the German town of Schmalkalden A period , she lived together with the German biathlete Sven Fischer .","Sven Fischer (born 16 April 1971) is a former German biathlete. He trained with the WSV Oberhof 05 club, and was coached by Frank Ullrich and Fritz Fischer (national coaches) and Klaus Siebert (club coach). After the 2006/07 biathlon season, he retired.",None
1903,WH_dev_897,1,[0] Glenfield north is one of several cities in Auckland region,Glenfield north is located in Auckland region,"Glenfield North is a suburb of North Shore , one of several cities in the Auckland metropolitan area in northern New Zealand . The Auckland Northern Motorway passes to the east of the suburb , and Wairau Road ( Route 26 ) separates it from Central Glenfield to the south . The Wairau Park Shopping Complex runs along Link Drive to the south - east . The population of Glenfield North was 4,050 in the 2006 Census , an increase of 165 from 2001 .","The Auckland Northern Motorway (known locally as the Northern Motorway, and historically as the Auckland–Waiwera Motorway) in the Auckland Region of New Zealand links central Auckland City and Puhoi in the former Rodney District via the Hibiscus Coast and North Shore. It is part of State Highway 1.",None
9818,WH_dev_4515,1,[0] Portuguese sweet bread country is in  Portugal,Portuguese sweet bread's country of origin is Portugal,"Portuguese sweet bread ( Provence bread or simply sweet bread ; the Easter version with eggs is better known as folar ) is a bread made with milk , sugar and / or honey , eggs , yeast , flour and sometimes lemon peel to produce a subtly sweet lightly textured loaf or rolls . It was traditionally made around the Christmas and Easter holidays ( sometimes with hard boiled eggs baked into the loaves for the latter holiday ) as a round - shaped loaf , but today it is made and available year round . The bread is usually served simply with butter and is sometimes served with rice pudding ( Arroz Doce ) . Portuguese sweet bread is common in both Hawaiian cuisine and New England cuisine as it was brought to those regions by their large Portuguese immigrant populations . It is also found in other areas in North America with Portuguese populations , particularly northern New Jersey , southern Florida , California , and Toronto , Canada .","Honey is a sugary food substance produced and stored by certain social hymenopteran insects. It is produced from the sugary secretions of plants or insects, such as floral nectar or aphid honeydew, through regurgitation, enzymatic activity, and water evaporation. The variety of honey produced by honey bees (the genus ""Apis"") is the most well-known, due to its worldwide commercial production and human consumption.
Honey gets its sweetness from the monosaccharides fructose and glucose, and has about the same relative sweetness as granulated sugar. It has attractive chemical properties for baking and a distinctive flavor that leads some people to prefer it to sugar and other sweeteners. Most microorganisms do not grow in honey, so sealed honey does not spoil, even after thousands of years. However, honey sometimes contains dormant endospores of the bacterium ""Clostridium botulinum"", which can be dangerous to babies, as it may result in botulism.
People who have a weakened immune system should not eat honey because of the risk of bacterial or fungal infection. Although some evidence indicates honey may be effective in treating diseases and other medical conditions, such as wounds and burns, the overall evidence for its use in therapy is not conclusive. Providing 64 calories in a typical serving of one tablespoon (15 ml) equivalent to 1272 kj per 100 g, honey has no significant nutritional value. Honey is generally safe, but may have various, potential adverse effects or interactions with excessive consumption, existing disease conditions, or drugs.
Honey use and production have a long and varied history as an ancient activity, depicted in Valencia, Spain by a cave painting of humans foraging for honey at least 8,000 years ago.","Spain, officially the Kingdom of Spain, is a sovereign state largely located on the Iberian Peninsula in southwestern Europe, with two large archipelagos, the Balearic Islands in the Mediterranean Sea and the Canary Islands off the North African Atlantic coast, two cities Ceuta and Melilla in the North African mainland and several small islands in the Alboran Sea near the Moroccan coast. Its mainland is bordered to the south and east by the Mediterranean Sea except for a small land boundary with Gibraltar; to the north and northeast by France, Andorra, and the Bay of Biscay; and to the west and northwest by Portugal and the Atlantic Ocean. It is the only European country to have a border with an African country (Morocco) and its African territory accounts for nearly 5% of its population, mostly in the Canary Islands but also in Ceuta and Melilla."
6382,WH_dev_2198,2,"[0] Sid meier's railroads!  on the Gamebryo
[1] Gamebryo is a Firaxis Games",Sid meier's railroads! is developed by Firaxis games,"Sid Meier 's Railroads ! is a business simulation game developed by Sid Meier on the Gamebryo game engine that was released in October 2006 and is the sequel to Railroad Tycoon 3 . Although Sid Meier created the original Railroad Tycoon , subsequent versions were developed by PopTop Software . After a visit to Miniatur Wunderland in Hamburg , Germany , Sid Meier was inspired to reinvent his original creation . A version for the Mac OS X was published by Feral Interactive on November 1 , 2012 , under the latter 's Feral Legends label .","Gamebryo is a game engine. Gamebryo 3D and LightSpeed engines are owned by Gamebase Co., Ltd. and Gamebase USA and have been used by several video game developers including Atlus, Trion Worlds, 2K Games, Disney, Ubisoft, Bethesda Softworks, Firaxis Games, Tencent, Sony, Shanda, NCsoft, Rockstar Games and KingsIsle Entertainment for numerous cross-platform game titles.",None
6306,WH_dev_4775,2,"[0] Miltenberg is located in the city of Aschaffenburg , the districts of Aschaffenburg and Main - Spessart
[1] Main-Spessart is located in Lower Franconia",Miltenberg is located in Lower franconia,"Miltenberg is an administrative district in Bavaria , Germany . It is bounded by ( from the north and clockwise ) the city of Aschaffenburg , the districts of Aschaffenburg and Main - Spessart , and the states of Baden - Württemberg ( districts of Main - Tauber and Neckar - Odenwald ) and Hesse ( districts of Odenwaldkreis and Darmstadt - Dieburg ) .","Main-Spessart is a district in the northwest of Bavaria, Germany. It is located in Lower Franconia and derives its name from the river Main and the wooded hills of the Spessart.",None
17,WH_dev_2442,2,"[0] Poonamallee is located in Poonamallee taluk.
[1] Poonamallee taluk is located in Tiruvallur district.",Poonamallee is located in Tiruvallur district,"Poonamallee ( ' Punamalli ' or originally Poovirundhavalli ) is located in the west of Chennai . it is a town in the Poonamallee taluk of the Thiruvallur district in the Indian state of Tamil Nadu . Presently considered to be a suburb of Chennai , it is a town with rich cultural heritage and also coping up with the fast developments of the adjacent city . As of 2011 , the town had a population of 57,224 .",Poonamallee taluk is a taluk of Tiruvallur district of the Indian state of Tamil Nadu. The headquarters of the taluk is the town of Poonamallee.,None
5559,WH_dev_3155,2,"[0] Breathe, Stretch, Shake single released by Mase.
[1] Breathe, Stretch, Shake single released by Mase. Mason Durell Betha signed with the Bad Boy Records label.","Breathe, stretch, shake is released by Bad boy records","`` Breathe , Stretch , Shake '' is the second and final single released from Mase 's third album , Welcome Back . It was released on September 14 , 2004 , produced by Rick Rock and featured P. Diddy on the chorus . `` Breathe , Stretch , Shake '' was slightly more successful on the Billboard charts then the album 's previous single , `` Welcome Back '' , peaking at 28 on the Billboard Hot 100 . It was certified gold on June 27 , 2005 , just about a month after `` Welcome Back '' accomplished the feat. This song was also featured in the 2004 sports video game NFL Street 2 .","Mason Durell Betha (born August 27, 1977), better known by stage name Mase (formerly often stylized Ma$e or MA$E), is an American hip hop recording artist and minister. He is best known for being signed to Sean ""Diddy"" Combs's label Bad Boy Records.",None
8682,WH_dev_1184,2,"[0] The West Hurley Railroad Station is located in Ulster and Delaware
[1] The Ulster and Delaware Railroad located in New York",West hurley railroad station is located in New york,"The West Hurley Station , MP 9.8 , later MP 10.2 , was a railroad station on the Ulster and Delaware Railroad that was made in the late nineteenth century and rebuilt during the construction of the Ashokan Reservoir . The original station was made of wood , and later torn down and temporarily replaced with a board - and - batten shed close to Woodstock , and created much local indignation . A new brick station was constructed to replace it which was located at the West Hurley Dike of the Ashokan Reservoir . The depot is no longer there , as it was torn down in 1967 . Water service was available for steam engines at this station . A water tower was located north west of the station serving water plugs located between the tracks .","The Ulster and Delaware Railroad (U&D) was a railroad located in the state of New York. It was often advertised as ""The Only All-Rail Route to the Catskill Mountains."" At its greatest extent, the U&D extended from Kingston Point on the Hudson River, through the Catskill Mountains to its western terminus at Oneonta, passing through the counties of Ulster, Delaware, Schoharie and Otsego.",None
6882,WH_dev_923,2,"[0] Enceliopsis is a daisylike plants that is related to genus Encelia.
[1] Encelia is also a genus of the plant family Asteraceae.",Enceliopsis belongs to Asteraceae,"Enceliopsis is a small genus of flowering plants in the daisy family . They are sometimes called sunrays . They are similar to the daisylike plants in the related genus Encelia . These three shrubs are native to the western United States and Canada . Species Enceliopsis argophylla - silverleaf sunray - Arizona ( Mohave Co ) , Nevada ( Clark Co ) , Utah ( Washington Co ) Enceliopsis covillei - Panamint daisy - Inyo County in California Enceliopsis nudicaulis - nakedstem sunray - California , Arizona , Nevada , Utah , Colorado , Idaho",Encelia is a genus of the plant family Asteraceae. It consists of shrubs (and one geophyte) of arid environments in southwestern North America and western South America.,None
2304,WH_dev_3318,2,"[0] Tremacebus harringtoni is species of New World monkey
[1] one of the family of new world monkey is Atelidae",Tremacebus belongs to Atelidae,"Tremacebus harringtoni is an extinct species of New World monkey from the Miocene . Tremacebus was about 1 metre ( 3.3 ft ) in length , and would have resembled a modern night monkey , to which it may have been related . However , its eyes appear to have been smaller than the modern species , CT scans of the cranium suggest a relatively small olfactory bulb and poor sense of smell , compared with night monkeys . These features suggest that it may not have been nocturnal . Only a few fossils have been found , including a skull from Patagonia .","New World monkeys are the five families of primates that are found in Central and South America and portions of Mexico: Callitrichidae, Cebidae, Aotidae, Pitheciidae, and Atelidae. The five families are ranked together as the Platyrrhini parvorder and the Ceboidea superfamily, which are essentially synonymous since Ceboidea is the only living platyrrhine superfamily.
Platyrhini means flat-nosed, and their noses are flatter than those of other simians, with sideways-facing nostrils. Monkeys in the family Atelidae, such as the spider monkey, are the only primates to have prehensile tails. New World monkeys' closest relatives are the other simians, the Catarrhini (""down-nosed,"" comprising Old World monkeys and apes). New World monkeys descend from African simians that colonized South America, a line that split off about 40 million years ago.",None
1037,WH_dev_797,2,"[0] United Ethiopian Democratic Forces is a coalition of several political parties in Ethiopia
[1] Addis Ababa is a capital and largest city of Ethiopia",United ethiopian democratic forces's headquarter is located in Addis ababa,"The United Ethiopian Democratic Forces ( Amharic : የኢትዮጵያ ዴሞክራሲዊ ኃይሎቸ ሕብረት ? ) is a coalition of several political parties in Ethiopia which combined to compete for seats in the Ethiopian General Elections held on May 15 , 2005 . The main constituent parties are the Oromo National Congress , Ethiopian Social Democratic Federal Party , Southern Ethiopia People 's Democratic Coalition , All - Amhara People 's Organization and the Ethiopian Democratic Unity Party . Other parties that joined to create the UEDF include : Afar Revolutionary Democratic Unity Front ) , All - Ethiopia Socialist Movement ( MEISON ) , Ethiopian Democratic Union - Tehadiso , Ethiopian National United Front , Ethiopian People Federal Democratic Unity Party ( HIBREHIZB ) , Ethiopian People 's Revolutionary Party , Gambela People 's United Democratic Front , Oromo People 's Liberation Organization ( OPLO - IBSO ) , and Tigrean Alliance for Democracy . In July 2008 , the UEDF joined the Oromo Federalist Democratic Movement , the Somali Democratic Alliance Forces , and the Union of Tigrians for Democracy and Sovereignty ( also known as Arena ) to found the Ethiopian Democratic Unity Front or simply Medrek , a new coalition of opposition parties and activists .","Ethiopia ('), officially known as the Federal Democratic Republic of Ethiopia""' (የኢትዮጵያ ፌዴራላዊ ዲሞክራሲያዊ ሪፐብሊክ, ""yeʾĪtiyoṗṗya Fēdēralawī Dēmokirasīyawī Rīpebilīk"" ), is a country located in the Horn of Africa. It shares borders with Eritrea to the north and northeast, Djibouti and Somalia to the east, Sudan and South Sudan to the west, and Kenya to the south. With nearly 100 million inhabitants, Ethiopia is the most populous landlocked country in the world, as well as the second-most populous nation on the African continent after Nigeria. It occupies a total area of , and its capital and largest city is Addis Ababa.",None
4738,WH_dev_4857,2,"[0] Penmachno is a village located near Betws - y - Coed
[1] Betws-y-Coed is a village and community in the Conwy valley in Conwy County Borough",Penmachno is located in Conwy county borough,"Penmachno is a village in the isolated upland valley of Cwm Penmachno , 4 miles south of Betws - y - Coed in the county of Conwy , north Wales . The two parts of the village are linked by a five - arched , stone bridge dating from 1785 . The village has been referred to as Pennant Machno , Llandudclyd and Llan dutchyd in historical sources . According to the 2011 census , the population of the Bro Machno Parish ( which also includes Cwm Penmachno ) was 617 , of whom 342 ( 55 % ) were able to speak Welsh and 214 ( 34 % ) had no skills in Welsh .","Betws-y-Coed (""Prayer house in the wood"") is a village and community in the Conwy valley in Conwy County Borough, Wales.",None
7133,WH_dev_2400,2,"[0] See No Evil is a slasher film.
[1] And slasher genre is in horror film genre.",A genre of See no evil is Horror film,"See No Evil is a 2006 slasher film directed by Gregory Dark , written by Dan Madigan , produced by Joel Simon , and starring professional wrestler Kane ( Glenn Jacobs ) . It is the first major film produced by WWE Films and was released by Lions Gate Entertainment on May 19 , 2006 . The film went through many different working titles before the final title of See No Evil was chosen . The original working title of the film was Eye Scream Man , but was later changed to The Goodnight Man , then Goodnight before settling on See No Evil .","Slasher films are a subgenre of horror films, typically involving a violent psychopath stalking and murdering several people, usually with bladed tools. Although the term ""slasher"" is sometimes used informally as a generic term for any horror movie involving murder, analysts of the genre cite an established set of characteristics which set these films apart from other horror subgenres, such as splatter films and psychological horror films.","A splatter film or gore film is a subgenre of horror film that deliberately focuses on graphic portrayals of gore and graphic violence. These films, through the use of special effects, display a fascination with the vulnerability of the human body and the theatricality of its mutilation. The term ""splatter cinema"" was coined by George A. Romero to describe his film ""Dawn of the Dead"", though ""Dawn of the Dead"" is generally considered by critics to have higher aspirations, such as social commentary, than to be simply exploitative for its own sake."
2643,WH_dev_1059,2,"[0] the article does not mention 'now that's what i call music 4' is released by Virgin records
[1] In contrast to the above article, the statement  said that ""Now That's What I Call Music"" series which EMI and Virgin Records had launched in November 1983",Now that's what i call music 4 is released by Virgin records,"Now That 's What I Call Music 4 or Now 4 was released in 1984 . The album is the fourth edition of the ( UK ) Now ! series . It is the only album in the series which failed to reach number one on the UK Albums Chart , kept off the top by Hits 1 . Although one of its predecessors Now 2 was released earlier that year and charted higher , Now 4 had managed to sell more copies than Now 2 by the end of the year . Although Now 4 was the first in the series to be released on Compact Disc , this was only a single - CD release containing 15 tracks ( compared to 32 on the standard double LP and cassette ) . In addition , it included tracks from the regular Now 4 , Now 3 and Now 2 releases , the latter two having been released earlier in 1984 . ( The Now 4 cassette makes reference to `` The Best of Now 1984 Compact Disc '' as being `` Also Available '' , but does not confirm whether this was the originally planned title for the CD that was ultimately released as Now 4 ) . It would be a further two years later before another regularly numbered Now album was released on CD , with a single - disc issue of Now 8 , although Now - The Christmas Compact Disc and Now ' 86 were also made available on the format . The CD format became regular from 1987 with a double - disc issue of Now 10 being the first major release . Now 4 features one song which reached number one on the UK Singles Chart : `` Hello '' by Lionel Richie .","The Hits Album, or Hits 1 as it is often called, is a compilation album released by CBS (Now Sony BMG) and WEA in November 1984. The album was released as a rival to the already successful ""Now That's What I Call Music"" series which EMI and Virgin Records had launched in November 1983. ""The Hits Album"" reached No. 1 in the UK Top 100 Albums chart for seven weeks and remained in the chart for 36 weeks. This album kept ""Now 4"" from the coveted No. 1 spot over Christmas 1984 – the only ""Now"" album in the original series not to reach No. 1 in either the UK Album Chart (to 1989) or the UK Compilations Chart (January 1989 onwards).",None
